ATOMSPRING

mass 1: 1.0079 amu
mass 2: 79.904 amu
K: 410 N/m
x0: 1.41e-10 m 
time step: 1e-16s

Time 	Position 2 (m)
2.11e-14	1.47923e-10
2.12e-14	1.47927e-10
2.13e-14	1.47931e-10
2.14e-14	1.47935e-10
2.15e-14	1.47939e-10
2.16e-14	1.47944e-10
2.17e-14	1.47948e-10
2.18e-14	1.47952e-10
2.19e-14	1.47957e-10
2.2e-14	1.47961e-10
2.21e-14	1.47965e-10
2.22e-14	1.4797e-10
2.23e-14	1.47974e-10
2.24e-14	1.47979e-10
2.25e-14	1.47983e-10
2.26e-14	1.47987e-10
2.27e-14	1.47991e-10
2.28e-14	1.47995e-10
2.29e-14	1.47999e-10
2.3e-14	1.48003e-10
2.31e-14	1.48007e-10
2.32e-14	1.48011e-10
2.33e-14	1.48014e-10
2.34e-14	1.48018e-10
2.35e-14	1.48021e-10
2.36e-14	1.48024e-10
2.37e-14	1.48027e-10
2.38e-14	1.4803e-10
2.39e-14	1.48033e-10
2.4e-14	1.48035e-10
2.41e-14	1.48038e-10
2.42e-14	1.4804e-10
2.43e-14	1.48042e-10
2.44e-14	1.48044e-10
2.45e-14	1.48045e-10
2.46e-14	1.48046e-10
2.47e-14	1.48048e-10
2.48e-14	1.48048e-10
2.49e-14	1.48049e-10
2.5e-14	1.4805e-10
2.51e-14	1.4805e-10
2.52e-14	1.4805e-10
2.53e-14	1.4805e-10
2.54e-14	1.48049e-10
2.55e-14	1.48049e-10
2.56e-14	1.48048e-10
2.57e-14	1.48047e-10
2.58e-14	1.48046e-10
2.59e-14	1.48044e-10
2.6e-14	1.48043e-10
2.61e-14	1.48041e-10
2.62e-14	1.48039e-10
2.63e-14	1.48037e-10
2.64e-14	1.48034e-10
2.65e-14	1.48032e-10
2.66e-14	1.48029e-10
2.67e-14	1.48026e-10
2.68e-14	1.48023e-10
2.69e-14	1.4802e-10
2.7e-14	1.48016e-10
2.71e-14	1.48013e-10
2.72e-14	1.48009e-10
2.73e-14	1.48005e-10
2.74e-14	1.48001e-10
2.75e-14	1.47998e-10
2.76e-14	1.47993e-10
2.77e-14	1.47989e-10
2.78e-14	1.47985e-10
2.79e-14	1.47981e-10
2.8e-14	1.47977e-10
2.81e-14	1.47972e-10
2.82e-14	1.47968e-10
2.83e-14	1.47964e-10
2.84e-14	1.47959e-10
2.85e-14	1.47955e-10
2.86e-14	1.4795e-10
2.87e-14	1.47946e-10
2.88e-14	1.47942e-10
2.89e-14	1.47938e-10
2.9e-14	1.47933e-10
2.91e-14	1.47929e-10
2.92e-14	1.47925e-10
2.93e-14	1.47921e-10
2.94e-14	1.47918e-10
2.95e-14	1.47914e-10
2.96e-14	1.4791e-10
2.97e-14	1.47907e-10
2.98e-14	1.47904e-10
2.99e-14	1.479e-10
3e-14	1.47897e-10
3.01e-14	1.47894e-10
3.02e-14	1.47892e-10
3.03e-14	1.47889e-10
3.04e-14	1.47887e-10
3.05e-14	1.47885e-10
3.06e-14	1.47883e-10
3.07e-14	1.47881e-10
3.08e-14	1.47879e-10
3.09e-14	1.47878e-10
3.1e-14	1.47877e-10
3.11e-14	1.47876e-10
3.12e-14	1.47875e-10
3.13e-14	1.47875e-10
3.14e-14	1.47874e-10
3.15e-14	1.47874e-10
3.16e-14	1.47874e-10
3.17e-14	1.47875e-10
3.18e-14	1.47875e-10
3.19e-14	1.47876e-10
3.2e-14	1.47877e-10
3.21e-14	1.47878e-10
3.22e-14	1.4788e-10
3.23e-14	1.47881e-10
3.24e-14	1.47883e-10
3.25e-14	1.47885e-10
3.26e-14	1.47888e-10
3.27e-14	1.4789e-10
3.28e-14	1.47893e-10
3.29e-14	1.47895e-10
3.3e-14	1.47898e-10
3.31e-14	1.47901e-10
3.32e-14	1.47904e-10
3.33e-14	1.47908e-10
3.34e-14	1.47911e-10
3.35e-14	1.47915e-10
3.36e-14	1.47919e-10
3.37e-14	1.47923e-10
3.38e-14	1.47927e-10
3.39e-14	1.47931e-10
3.4e-14	1.47935e-10
3.41e-14	1.47939e-10
3.42e-14	1.47943e-10
3.43e-14	1.47947e-10
3.44e-14	1.47952e-10
3.45e-14	1.47956e-10
3.46e-14	1.4796e-10
3.47e-14	1.47965e-10
3.48e-14	1.47969e-10
3.49e-14	1.47974e-10
3.5e-14	1.47978e-10
3.51e-14	1.47982e-10
3.52e-14	1.47986e-10
3.53e-14	1.47991e-10
3.54e-14	1.47995e-10
3.55e-14	1.47999e-10
3.56e-14	1.48003e-10
3.57e-14	1.48006e-10
3.58e-14	1.4801e-10
3.59e-14	1.48014e-10
